country,year,offshore,entsoe_offshore_wind_generation,entsoe_offshore_wind_installed_capacity,opsd_offshore_wind_generation,opsd_offshore_wind_installed_capacity,entsoe_onshore_wind_generation,entsoe_onshore_wind_installed_capacity,opsd_onshore_wind_generation,opsd_onshore_wind_installed_capacity,ei_wind_installed_capacity,entsoe_solar_generation,entsoe_solar_installed_capacity,opsd_solar_generation,opsd_solar_installed_capacity,ei_solar_installed_capacity,entsoe_reservoir_filling_level,entsoe_hydropower_inflow
Albania,2015,True,,,,,,,,,,,,,,,,
Albania,2016,True,,,,,,,,,,,,,,,,
Albania,2017,True,,,,,,,,,,,,,,,,
Albania,2018,True,,,,,,,,,,,,,,,,
Albania,2019,True,,,,,,,,,,,,,,,,
Austria,2015,False,,,,,2171.75,2121.0,2176.0,,2488.73,510.75,587.0,509.0,,937.1,1511025.0,190262.0
Austria,2016,False,,,,,2545.0,2497.0,2549.0,,2730.0,612.0,723.0,610.0,,1096.02,1512694.0,291584.5
Austria,2017,False,,,,,2657.5,2696.0,2662.0,,2886.7,754.25,1031.0,756.0,,1268.97,1735631.0,262168.75
Austria,2018,False,,,,,2950.0,2887.0,2912.0,,3132.71,909.25,1193.0,911.0,,1455.13,1915721.0,291984.0
Austria,2019,False,,,,,2963.0,3035.0,2967.0,,3224.12,486.0,1193.0,976.0,,1702.09,1878607.0,407363.0
Belgium,2015,True,687.0,712.0,686.66,,1053.0,1249.0,1052.88,,2181.3,2344.0,2818.0,2344.01,,3131.6,,
Belgium,2016,True,689.0,712.0,689.32,,1085.0,1249.0,1084.79,,2333.8,2380.0,2953.0,2380.06,,3328.8,,
Belgium,2017,True,849.0,877.0,848.82,,1330.0,1745.0,1329.96,,2779.4,2261.0,2953.0,2260.63,,3620.6,,
Belgium,2018,True,1154.0,1178.0,1154.36,,1488.0,1979.0,1488.36,,3304.9,2620.0,2953.0,2620.03,,4000.0,,
Belgium,2019,True,1484.0,1548.0,1483.78,,1701.0,2248.0,1701.05,,3863.5,2708.0,3369.0,2708.02,,4636.6,,
Bosnia and Herzegovina,2015,True,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2016,True,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2017,True,,,,,,0.0,,,,,,,,,,
Bosnia and Herzegovina,2018,True,,,,,90.0,51.0,,,,,,,,,,
